,shortname,name,content
0,soeknads_aar,Søknadsår,Søknadsår
1,saksbehandlende_kommune,Saksbehandlende kommune,Kommune som behandler søknaden
2,orgnr,Orgnr,Søkers organisasjonsnummer for foretak eller bedrift
3,orgnavn,Orgnavn,Navn på foretak eller bedrift
4,kommunenr,Kommunenr,Kommune hvor søkers driftssenter ligger
5,gaardsnummer,Gårdsnummer,Gardsnummer for landbrukseiendommen hvor søkers driftssenter ligger
6,bruksnummer,Bruksnummer,Bruksnummer for landbrukseiendommen hvor søkers driftssenter ligger
7,festenummer,Festenummer,Festenummer for landbrukseiendommen hvor søkers driftssenter ligger
8,fulldyrket,Fulldyrket,Sum fulldyrket areal disponert av søker
9,overflatedyrket,Overflatedyrket,Sum overflatedyrket areal disponert av søker
10,innmarksbeite,Innmarksbeite,Sum innmarksbeiteareal disponert av søker
11,totalareal,Totalareal,"Sum fulldyrket, overflatedyrket og innmarksbeiteareal disponert av søker"
12,p001,P001,"Epler, kg"
13,p002,P002,"Pærer, kg"
14,p003,P003,"Plommer, kg"
15,p004,P004,"Moreller, kg"
16,p005,P005,"Kirsebær, kg"
17,p006,P006,"Epler og pærer til press, kg"
18,p011,P011,"Jordbær, kg"
19,p012,P012,"Bringebær, kg"
20,p013,P013,"Solbær, kg"
21,p014,P014,"Rips, kg"
22,p016,P016,"Hageblåbær, kg"
23,p021,P021,"Stikkelsbær, kg"
24,p022,P022,Industribær. Av det totale antall kg bær
25,p031,P031,"Tomat, kg"
26,p032,P032,"Slangeagurk, kg"
27,p033,P033,"Salat (inkl. salat på friland) av arten Lactuca sativa, stk"
28,p060,P060,"Poteter, kg"
29,p115_vaar,P115 vår,"Hester, under 3 år"
30,p115_hoest,P115 høst,"Hester, under 3 år"
31,p116_vaar,P116 vår,"Hester, 3 år og eldre"
32,p116_hoest,P116 høst,"Hester, 3 år og eldre"
33,p118_vaar,P118 vår,Herav (av P121) kyr av minst 50 % av spesifiserte raser
34,p118_hoest,P118 høst,Herav (av P121) kyr av minst 50 % av spesifiserte raser
35,p119_vaar,P119 vår,Øvrig storfe
36,p119_hoest,P119 høst,Øvrig storfe
37,p120_vaar,P120 vår,Melkekyr
38,p120_hoest,P120 høst,Melkekyr
39,p121_vaar,P121 vår,Ammekyr
40,p121_hoest,P121 høst,Ammekyr
41,p139_vaar,P139 vår,"Melkesau, født i fjor eller tidligere"
42,p139_hoest,P139 høst,"Melkesau, født i fjor eller tidligere"
43,p140_vaar,P140 vår,Melkegeiter
44,p140_hoest,P140 høst,Melkegeiter
45,p142_vaar,P142 vår,Ammegeiter
46,p144_vaar,P144 vår,"Bukker og ungdyr, medregnet kje"
47,p144_hoest,P144 høst,"Bukker og ungdyr, medregnet kje"
48,p145_vaar,P145 vår,"Søyer, født i fjor eller tidligere."
49,p146_vaar,P146 vår,"Værer, født i fjor eller tidligere"
50,p154_vaar,P154 vår,"Smågriser, levendevekt under 20 kg eller alder inntil 8 uker"
51,p154_hoest,P154 høst,"Smågriser, levendevekt under 20 kg eller alder inntil 8 uker"
52,p155_vaar,P155 vår,Avlspurker som har fått minst ett kull
53,p155_hoest,P155 høst,Avlspurker som har fått minst ett kull
54,p156_vaar,P156 vår,Råner som er satt inn i avl
55,p156_hoest,P156 høst,Råner som er satt inn i avl
56,p157_vaar,P157 vår,"Slaktegriser, levendevekt minst 20 kg, antall på telledato. Griser påsatt til avlsdyr, levendevekt 20-50 kg"
57,p157_hoest,P157 høst,"Slaktegriser, levendevekt minst 20 kg, antall på telledato. Griser påsatt til avlsdyr, levendevekt 20-50 kg"
58,p158_vaar,P158 vår,"Ungpurker bestemt for avl, levendevekt minst 50 kg eller eldre enn 15 uker"
59,p158_hoest,P158 høst,"Ungpurker bestemt for avl, levendevekt minst 50 kg eller eldre enn 15 uker"
60,p159_vaar,P159 vår,"Ungråner bestemt for avl, levendevekt minst 50 kg eller eldre enn 15 uker"
61,p159_hoest,P159 høst,"Ungråner bestemt for avl, levendevekt minst 50 kg eller eldre enn 15 uker"
62,p161_vaar,P161 vår,"Verpehøner for konsumeggproduksjon, 20 uker og eldre"
63,p161_hoest,P161 høst,"Verpehøner for konsumeggproduksjon, 20 uker og eldre"
64,p162_hoest,P162 høst,Antall rugeegg levert til rugeri i søknadsåret
65,p168_vaar,P168 vår,"Avlsdyr av ender, kalkuner og gjess"
66,p168_hoest,P168 høst,"Avlsdyr av ender, kalkuner og gjess"
67,p170_vaar,P170 vår,"Mink, avlstisper født foregående år eller tidligere"
68,p170_hoest,P170 høst,"Mink, avlstisper født foregående år eller tidligere"
69,p171_vaar,P171 vår,"Rev, avlstisper født foregående år eller tidligere"
70,p171_hoest,P171 høst,"Rev, avlstisper født foregående år eller tidligere"
71,p174_vaar,P174 vår,"Ender, kalkuner og gjess for slakt"
72,p174_hoest,P174 høst,"Ender, kalkuner og gjess for slakt"
73,p175_vaar,P175 vår,"Livkyllinger, påsatt til verpehøns"
74,p175_hoest,P175 høst,"Livkyllinger, påsatt til verpehøns"
75,p176_vaar,P176 vår,"Slaktekyllinger, antall på telledato"
76,p176_hoest,P176 høst,"Slaktekyllinger, antall på telledato"
77,p178_vaar,P178 vår,"Hjort, 1 år og eldre"
78,p178_hoest,P178 høst,"Hjort, 1 år og eldre"
79,p179_vaar,P179 vår,"Hjort, under 1 år"
80,p179_hoest,P179 høst,"Hjort, under 1 år"
81,p180_vaar,P180 vår,Kaniner som brukes i kjøtt- eller ullproduksjon
82,p180_hoest,P180 høst,Kaniner som brukes i kjøtt- eller ullproduksjon
83,p183_vaar,P183 vår,Struts
84,p183_hoest,P183 høst,Struts
85,p184,P184,"Slaktegriser, slaktet i søknadsåret"
86,p185_hoest,P185 høst,"Livkyllinger, påsatt til verpehøns, livkalkuner, solgt inneværende år"
87,p186,P186,"Kyllinger, konvensjonelle, slaktet i søknadsåret"
88,p187,P187,"Ender, slaktet i søknadsåret"
89,p188,P188,"Kalkuner, slaktet i søknadsåret"
90,p189,P189,"Gjess, slaktet i søknadsåret"
91,p192_vaar,P192 vår,Esel
92,p192_hoest,P192 høst,Esel
93,p193_hoest,P193 høst,"Hester i pensjon i beitesesongen, antall i beitesesongen"
94,p194_hoest,P194 høst,Bifolk
95,p196_vaar,P196 vår,Lama
96,p196_hoest,P196 høst,Lama
97,p197_vaar,P197 vår,Alpakka
98,p197_hoest,P197 høst,Alpakka
99,p210,P210,Fulldyrket eng
100,p211,P211,Overflatedyrket eng
101,p212,P212,Innmarksbeite
102,p213,P213,Andre grovfôrvekster til fôr
103,p223,P223,Grønngjødsling
104,p230,P230,Poteter
105,p231,P231,Annet korn og frø som er berettiget tilskudd
106,p235,P235,Engfrø og annen såfrøproduksjon
107,p236,P236,"Erter, bønner og andre belgvekster til modning"
108,p237,P237,Oljevekster
109,p238,P238,Rug og rughvete
110,p239,P239,Korn til krossing
111,p240,P240,Vårhvete
112,p242,P242,Bygg
